GISJOIN,YEAR,STUSAB,STATE,GEO_ID,TL_GEO_ID,NAME_E,AQNFE001,AQNGE001,AQNGE002,AQNGE003,AQNGE004,AQNGE005,AQNGE006,AQNGE007,AQNGE008,AQNGE009,AQNGE010,AQPKE001,AQPKE002,AQPKE003,AQPKE004,AQPKE005,AQPKE006,AQPKE007,AQPKE008,AQPKE009,AQPKE010,AQPKE011,AQPKE012,AQPKE013,AQPKE014,AQPKE015,AQPKE016,AQPKE017,AQPKE018,AQPKE019,AQPKE020,AQPKE021,AQPKE022,AQPKE023,AQPKE024,AQPKE025,AQPZE001,AQPZE002,AQPZE003,AQPZE004,AQPZE005,AQPZE006,AQPZE007,AQPZE008,AQP6E001,AQRAE001,NAME_M,AQNFM001,AQNGM001,AQNGM002,AQNGM003,AQNGM004,AQNGM005,AQNGM006,AQNGM007,AQNGM008,AQNGM009,AQNGM010,AQPKM001,AQPKM002,AQPKM003,AQPKM004,AQPKM005,AQPKM006,AQPKM007,AQPKM008,AQPKM009,AQPKM010,AQPKM011,AQPKM012,AQPKM013,AQPKM014,AQPKM015,AQPKM016,AQPKM017,AQPKM018,AQPKM019,AQPKM020,AQPKM021,AQPKM022,AQPKM023,AQPKM024,AQPKM025,AQPZM001,AQPZM002,AQPZM003,AQPZM004,AQPZM005,AQPZM006,AQPZM007,AQPZM008,AQP6M001,AQRAM001
G010,2018-2022,AL,Alabama,0400000US01,1,Alabama,5028092,5028092,3329012,1326341,21122,69808,2253,93924,185632,63576,122056,3428520,45445,624,713,868,1823,4231,3206,4916,15486,15219,34844,58303,81859,88112,65531,864977,176748,219269,507480,306021,572252,261039,56574,42980,4890427,351011,417886,235172,235159,328126,134469,3188604,59609,33344,Alabama,,,3832,3804,1564,1150,714,4749,4998,3409,3638,1434,2181,232,251,287,418,660,497,592,1099,1048,1549,2075,2617,3235,2165,9046,3575,5226,5544,4571,7231,5033,2127,1732,1609,7419,8154,8267,8017,9522,5246,16747,377,211
G020,2018-2022,AK,Alaska,0400000US02,2,Alaska,734821,734821,450472,23395,104957,47464,11209,14597,82727,15138,67589,485871,3875,58,29,109,261,517,446,573,827,1032,2936,3044,4874,6902,6206,114087,26039,36099,85203,43357,93744,39645,9589,6419,717293,34765,40462,22772,27287,37184,14863,539960,86370,42828,Alaska,,,1711,906,1788,1200,462,1528,2779,1247,2510,445,503,56,20,90,130,144,177,209,171,244,325,389,509,624,718,2256,1138,1239,2099,1700,2434,1456,759,691,533,2326,2483,1636,2534,2397,1541,4885,1083,523
G040,2018-2022,AZ,Arizona,0400000US04,4,Arizona,7172282,7172282,4781702,327077,297590,240642,14116,549361,961794,668727,293067,4878959,80113,1211,1394,2622,5446,10571,6186,11694,51151,13127,51979,66552,61336,79932,108118,953769,197611,369906,808921,445866,958447,429317,93897,69793,7017776,441879,474997,287110,308856,445886,201975,4857073,72581,38334,Arizona,,,11855,4147,4524,3108,885,10442,13232,13166,6917,631,2419,260,517,467,804,969,685,1040,2480,1023,2152,2645,2198,2414,2715,7942,4164,5801,8186,5188,8580,5271,2717,1780,1577,9030,10092,8052,8883,9244,7339,19591,450,204
G050,2018-2022,AR,Arkansas,0400000US05,5,Arkansas,3018669,3018669,2193348,456693,16840,47413,11117,89782,203476,106205,97271,2031847,27369,288,298,539,1529,3851,2964,3767,13986,11002,24700,29623,38771,45835,35133,573876,119999,137651,299173,159514,317437,134754,29822,19966,2931377,203497,272232,156797,166404,224535,96162,1811750,56335,31868,Arkansas,,,5230,2289,1020,1302,736,3255,5743,5263,2578,1186,1514,120,130,165,378,573,579,531,1023,964,1524,1460,1550,1917,1557,6648,2719,3470,4350,3264,4867,3048,1406,1083,1030,5408,6038,5088,5441,6225,4334,10900,422,310
G060,2018-2022,CA,California,0400000US06,6,California,39356104,39356104,18943660,2202587,394188,5949136,150531,6388999,5327003,3506890,1820113,26842698,880931,8821,13922,31306,68837,144716,87564,128777,630094,99733,246600,422855,293918,390780,736856,4837641,647858,1592200,3816058,2136258,5935292,2515475,687281,488925,38643585,2209824,2475448,1494251,1540915,2163626,943946,27815575,91905,45591,California,,,30822,9304,8220,10460,2498,35593,32386,29577,20345,1295,10267,682,1109,1609,2878,4208,2265,3858,9737,2839,4865,7343,4964,6556,6909,27212,7187,13796,20019,12792,25464,18191,6893,6964,4300,20257,26488,18456,19104,23145,16841,62949,277,149
G080,2018-2022,CO,Colorado,0400000US08,8,Colorado,5770790,5770790,4393409,233712,57022,185431,8094,283146,609976,375060,234916,3982760,50945,471,625,997,2146,4691,2697,6343,25936,7497,22869,33130,35389,46332,57016,660933,153275,245040,550016,334723,1083618,481793,100044,76234,5653289,270683,269422,167682,183800,277333,137790,4346579,87598,47346,Colorado,,,7884,2900,2874,2398,715,6838,8620,7399,5256,931,2332,175,224,323,457,620,434,749,1610,845,1613,1579,1508,1946,1871,7426,3447,4240,6398,4189,6460,6192,2283,2154,1198,7670,7897,5924,6756,8608,5488,16166,508,253
G090,2018-2022,CT,Connecticut,0400000US09,9,Connecticut,3611317,3611317,2522166,385407,9043,170945,1345,233926,288485,162640,125845,2520790,37949,578,723,1000,1738,4720,3895,7032,15611,6623,21951,24201,27997,28745,37313,570708,80080,136836,277697,192167,573917,341203,81685,46421,3507563,168097,187595,102012,107538,153627,67746,2720948,90213,52034,Connecticut,,,6682,3664,1059,1584,391,6176,7344,5810,4314,424,1679,191,242,238,410,698,671,913,1304,815,1596,1413,1426,1351,1723,6650,2475,3283,4970,3274,5162,5166,2243,1657,869,5871,5607,4520,4381,5989,3356,11156,730,404
G100,2018-2022,DE,Delaware,0400000US10,10,Delaware,993635,993635,634244,218266,3309,40570,365,32751,64130,28821,35309,700364,6745,100,104,228,372,414,753,1202,4497,1273,6274,6490,9986,10950,11956,184812,23317,43967,87027,58540,139213,75033,13180,13931,969075,51156,56634,31941,31251,50048,23737,724308,79325,42180,Delaware,,,2984,2327,703,755,117,2596,3017,1836,2344,144,754,59,49,124,154,155,263,355,604,318,735,731,920,976,1012,3398,1285,1873,2742,2069,3123,1999,953,1189,731,2561,3376,3084,2443,3330,2399,5753,1227,471
G110,2018-2022,DC,District of Columbia,0400000US11,11,District of Columbia,670587,670587,265633,297101,2209,27067,420,30879,47278,20539,26739,484596,6109,48,198,73,328,645,361,1306,2348,1070,2098,3942,4885,6581,5385,61269,11547,15747,42290,14834,124860,109410,48095,21167,649184,57577,40462,18078,17472,21262,10065,484268,101722,71297,District of Columbia,,,2124,1999,510,736,69,2202,2412,1748,1977,146,948,37,146,52,139,254,148,474,548,316,442,714,651,709,591,2492,1004,1272,1881,943,2653,2553,1627,1135,503,3327,2528,2169,2446,2254,1546,4781,1569,958
G120,2018-2022,FL,Florida,0400000US12,12,Florida,21634529,21634529,13807410,3355708,59197,609990,13200,1045557,2743467,2089692,653775,15579847,266243,6015,3457,7636,14074,31109,24139,40516,114086,55480,116914,175853,214247,235772,365331,3671306,645493,1026244,1961436,1567030,3154240,1308569,372331,202326,21171700,1242849,1482784,919782,962895,1416581,626813,14519996,67917,38850,Florida,,,22830,10029,3502,3903,1045,16816,25622,23132,12248,1453,5871,878,735,880,1488,2258,1603,2433,4221,2693,3483,4536,4805,5282,6803,30663,8229,10916,12585,10809,19146,12336,5941,4300,2589,17658,23617,17975,17931,21252,15193,47130,259,186
