org_name,org_id,org_address,std_state,geo_lat,geo_lon,Organization Type,Subtype,state
Finishing Trade Institute - Lausd,6d4f0a0f,"2077 YATES AVE, LOS ANGELES, CA, 90040",CA,34.0036019,-118.1297319,WIOA-eligible,NA,California
Autism Employment Network,8570dd10,"408 COLONIAL DR, MONROEVILLE, PA, 15146",PA,40.452042,-79.7659438,Non-profit organization,Job training non-profit,Pennsylvania
Rosedale Bible College,acab0331,"2270 ROSEDALE RD, IRWIN, OH, 43029",OH,40.0774172,-83.4568514,Higher education institution,NA,Ohio
Ivy Tech Community College,9e568ba3,"2205 MCCLAIN DR, FRANKLIN, IN, 46131",IN,39.4889628,-86.0119181,WIOA-eligible,NA,Indiana
Jrmc School Of Nursing,0c84cf8a,"1600 W 40TH AVE, PINE BLUFF, AR, 71603",AR,34.188636,-92.0176764,WIOA-eligible,NA,Arkansas
Heroes To Healthcare,f351e7f0,"7128 HUNT LN, ROCKWALL, TX, 75087",TX,32.96936,-96.4708044,Registered apprenticeship,NA,Texas
Dronitek Drone Flight Academy (Business Office),1e1f519c,"7625 WOODCHUCK WAY, CITRUS HEIGHTS, CA, 95610",CA,38.7044961,-121.2638764,WIOA-eligible,NA,California
Newberry School Of Beauty,NA,"16860 DEVONSHIRE ST, GRANADA HILLS, CA, 91344",CA,34.2566259,-118.5000983,Higher education institution,Highest degree certificate,California
Owensboro Community And Technical College,5b6b10e5,"4800 NEW HARTFORD RD, OWENSBORO, KY, 42303",KY,37.7150767,-87.0830441,Multiple types,NA,Kentucky
Auburn Training Connection,b6ec1c5b,"144 TICHENOR AVE, AUBURN, AL, 36830",AL,32.6080456,-85.4803366,Non-profit organization,Job training non-profit,Alabama
Kctcs Sfrt Area 12,012b4143,45 GORMAN HOLLOW RD  HAZARD - HAZARD KY 41701,KY,37.2430465,-83.2002737,WIOA-eligible,NA,Kentucky
Philadelphia Works Inc,332a558c,1617 JFK BLVD 13TH FLOOR PHILADELPHIA PA 19103-1821,PA,39.9530498,-75.1666203,Non-profit organization,Job training non-profit,Pennsylvania
Beth Israel Deaconness Medical Center,03102b88,"""330 BROOKLINE AVE"" BOSTON MA 2215",MA,42.3400071,-71.105278,Registered apprenticeship,NA,Massachusetts
Ink Release,c20f95d8,"2323 NIPSIC AVE, BREMERTON, WA, 98310",WA,47.580851,-122.6113299,Non-profit organization,Job training non-profit,Washington
Uei College-Bakersfield,0b925dac,"3737 ROSEDALE HWY, BAKERSFIELD, CA, 93308",CA,35.3815196,-119.049234,Higher education institution,Highest degree certificate,California
Hand In Hand With Us Vets,e51568e4,"468 N CAMDEN DR, BEVERLY HILLS, CA, 90210",CA,34.0697851,-118.4049002,Non-profit organization,Job training non-profit,California
Technical College Of The Lowcountry,d24bb8ab,"921 RIBAUT RD, BEAUFORT, SC, 29902",SC,32.4200548,-80.6918067,Multiple types,NA,South Carolina
Arc Gateway Pals Program,76163afe,"1000 COLLEGE BLVD, PENSACOLA, FL, 32504",FL,30.479400299999998,-87.2040057,WIOA-eligible,NA,Florida
"Racca, Inc. Gnj",42dc1b50,"1920 E SLIGH AVE, TAMPA, FL, 33610",FL,28.010927,-82.4371473,Registered apprenticeship,NA,Florida
Fti Of Dc 91,f1be4b2c,"6501 MASSACHUSETTS AVE, INDIANAPOLIS, IN, 46226",IN,39.821236,-86.0567058,Registered apprenticeship,NA,Indiana
160 Driving Academy,12d3bf91,11380 COURTHOUSE DR  INVER GROVE HEIGHTS MN 55077,MN,44.7857192,-93.0330741,WIOA-eligible,NA,Minnesota
Ucas University Of Cosmetology Arts And Sciences-Harlingen,5a0610a5,"801 N 13TH ST, HARLINGEN, TX, 78550",TX,26.2016345,-97.6840631,Higher education institution,Highest degree certificate,Texas
Nehemiahs Outcry,af76c1ab,"805 W BROWN AVE, ALPINE, TX, 79830",TX,30.3606934,-103.6711642,Non-profit organization,Job training non-profit,Texas
Hillsborough Community College,161c6e0c,"39 COLUMBIA DR, TAMPA, FL, 33606",FL,27.9348426,-82.4562776,Higher education institution,NA,Florida
La James International College-Cedar Falls,de4b538e,6322 UNIVERSITY AVE CEDAR FALLS IA 50613,IA,42.5143264,-92.4336882,Higher education institution,Highest degree certificate,Iowa
Santa Clara County Automotive Repair Trades J.A. And E.A.C.,a4cddc01,SAN JOSE CA 95125,CA,37.2909813,-121.8904136,Registered apprenticeship,NA,California
Cdl Training Services Consulting Inc,78ab7da8,"1927 IRVIN COBB DR, PADUCAH, KY, 42003",KY,37.0631099,-88.595326,WIOA-eligible,NA,Kentucky
General Assembly,c7de0558,"1218 3RD AVE, SEATTLE, WA, 98101",WA,47.6077559,-122.3354841,WIOA-eligible,NA,Washington
Glen Dow Academy Of Hair Design,4a3847ca,W 309 RIVERSIDE AVE SPOKANE WA 99201,WA,47.6578032,-117.4164692,Higher education institution,Highest degree certificate,Washington
Paul Mitchell The School-Memphis,69cc694f,"3419 PLAZA AVE, MEMPHIS, TN, 38111",TN,35.129593,-89.9479525,Higher education institution,Highest degree certificate,Tennessee
Liveit Academy-Is,e1099e1a,"4047 OKEECHOBEE BLVD, WEST PALM BEACH, FL, 33409",FL,26.7082699,-80.1029431,WIOA-eligible,NA,Florida
Codecrew Code School,c3d392bf,"460 S HIGHLAND ST, MEMPHIS, TN, 38111",TN,35.118977,-89.9451118,WIOA-eligible,NA,Tennessee
Pass It Forward,76470aee,"3027 GARNET ST, LOS ANGELES, CA, 90023",CA,34.0259078,-118.2096386,Non-profit organization,Job training non-profit,California
Family And Workforce Centers Of America (Fwca) Career Institute,NA,"6347 PLYMOUTH AVE, SAINT LOUIS, MO, 63133",MO,38.6691126,-90.296484,Registered apprenticeship,NA,Missouri
Skillpoint Alliance,ed4e2d2d,8868 RESEARCH BLVD STE 505 AUSTIN TX 78758-6430,TX,30.3694403,-97.7207593,Non-profit organization,Job training non-profit,Texas
Infrastructure Corps,02c9eb5b,"8025 N POINT BLVD, WINSTON SALEM, NC, 27106",NC,36.1479011,-80.2691654,Non-profit organization,Job training non-profit,North Carolina
Mayo Clinic School Of Health Sciences,e17908d1,"4500 SAN PABLO PKWY, JACKSONVILLE, FL, 32224",FL,30.2683396,-81.4393475,WIOA-eligible,NA,Florida
